Leverandørnummer,Navn,Organisasjonsnummer,Telefonnummer,Telefonnr. mobil,E-postadresse,Postadresse Linje,Postadresse Postnr.,Postadresse Sted,Postadresse Land,Forretningsadresse Linje,Forretningsadresse Postnr.,Forretningsadresse Sted,Forretningsadresse Land
20108,Stopp Tagging AS,987377348,93 40 92 40,926 00 555,vidar@graffi.no,Professor Birkelands vei 24B,1081,OSLO,Norge,Professor Birkelands vei 24B,1081,OSLO,Norge
20081,Storebrand Helseforsikring AS,980126196,22 31 13 13,,infohelse@storebrand.no,Postboks 464,1327,LYSAKER,Norge,Professor Kohts vei 9,1366,LYSAKER,Norge
20080,Storebrand Livsforsikring AS,958995369,8880,,,Postboks 500,1327,LYSAKER,Norge,Professor Kohts vei 9,1366,LYSAKER,Norge
20295,Studentconsulting Norge AS,990659788,4723897555,,,Kongens gate 14,153,OSLO,,Kongens gate 14,153,OSLO,Norge
20395,Sunshine Fysio - Sara Maria Bech Holte,995058049,,467 95 206,,Faunveien 2,781,OSLO,,Faunveien 2,781,OSLO,Norge
20165,Svea Finans NUF,986346422,73 93 06 00,,info@sveafinans.no,Postboks 2220 Sentrum,7412,TRONDHEIM,Norge,Sjøgangen 4,7010,TRONDHEIM,Norge
20144,Sverre W. Monsen AS,916488386,55 94 52 00,,swm@swm.no,Postboks 55 Laksevåg,5847,BERGEN,Norge,Øvre Fyllingsveien 83,5161,LAKSEVÅG,Norge
20076,Sweco Norge AS,967032271,67 12 80 00,,post@sweco.no,Postboks 80   Skøyen,212,OSLO,Norge,Drammensveien 260,283,OSLO,Norge
20310,Teconergy AS,922026939,,,,Holtet 12,3430,SPIKKESTAD,,Holtet 12,3430,SPIKKESTAD,
20438,Telemark Byggutleie AS,981640608,,,,Heddalsveien 41,3674,NOTODDEN,,,,,
20057,Telenor Norge AS,976967631,81 07 70 00,,,Postboks 800,1331,FORNEBU,Norge,Snarøyveien 30,1360,FORNEBU,Norge
20422,Terje Rygg,957807631,22 44 46 30,905 96 858,,Munkedamsveien 84A,270,OSLO,Norge,Munkedamsveien 84A,270,OSLO,Norge
20405,Tess Øst AS,916939787,,,,Postboks 52 Alnabru,614,OSLO,,Verkseier Furulunds vei 9,668,OSLO,Norge
20084,The Pure Water Company AS,977511240,22 96 65 00,,hq@purewater.no,Vollsveien 13C,1366,LYSAKER,Norge,Vollsveien 13C,1366,LYSAKER,Norge
20435,Thermax AS,984757514,,,,Åslyveien 25,3170,SEM,,,,,
20458,Thermoconsult AS,965458409,32 21 90 50,,,Orestien 21,1387,ASKER,Norge,Orestien 21,1387,ASKER,Norge
20354,Thermo Control AS,979439334,23 16 95 00,928 57 385,,Ryensvingen 11,680,OSLO,,Ryensvingen 11,680,OSLO,Norge
20245,Time Park Service AS,991004343,23 08 00 00,,firmapost@olavthon.no,Postboks 489  Sentrum,105,OSLO,Norge,Stenersgata 2,184,OSLO,Norge
20220,Tingstad Emballasje AS,935572355,,,,Prof Birkelandsvei 35,1081,Oslo,,,,,
20077,Tk Elevator Norway AS,828447742,23 17 37 00,,,Postboks 6877 Rodeløkka,504,OSLO,,Brobekkveien 38,598,OSLO,Norge
20381,TKS Heis AS,978681239,,,,Torlandsvegen 3,4365,NÆRBØ,,,,,
20184,T Myhrvold AS,914451892,,,post@myhrvold.no,Postboks 24   KJELSÅS,411,OSLO,Norge,Frysjaveien 33,884,OSLO,Norge
20244,ToolBox AS,887657742,,,,,950,Oslo,,,,,
20107,Tors Tepperens Torgrim Aartun,970459286,67 97 17 70,,,Åmotveien 43,3160,STOKKE,Norge,Åmotveien 43,3160,STOKKE,Norge
20072,Toyota Material Handling Norway AS,925806005,73 82 73 00,,arne.k.hoset@no.toyota-industries.eu,Haakon VII's gate 23C,7041,TRONDHEIM,Norge,Haakon VII's gate 23C,7041,TRONDHEIM,Norge
20159,TRALLEFABRIKKEN AS,980183793,,,,Nygårdsveien 26,1400,SKI,,,,,
20126,Tripletex AS,914286018,+47 22 83 60 00,,,Karenslyst Allé 56,277,OSLO,,,,,
20129,Tropisk Design AS,884528852,22 72 02 10,,,Trondheimsvegen - Kløfta 255,2040,KLØFTA,Norge,Trondheimsvegen - Kløfta 255,2040,KLØFTA,Norge
20386,Trygg Kurs AS,987735155,,,,Storgata 8,155,OSLO,,,,,
20326,Tsw AS,924682272,,,,Bjerkebakken 3B,757,OSLO,,Bjerkebakken 3B,757,OSLO,
20339,Typoform AS,931775553,22 97 52 80,,,Østre Aker vei 19,581,OSLO,,Østre Aker vei 19,581,OSLO,
20038,Unifon AS,987100648,21 67 70 00,,,Vestre Strandgate 27,4611,KRISTIANSAND S,,Vestre Strandgate 27,4611,KRISTIANSAND S,Norge
20067,Unikum AS,928580792,21 52 51 00,,post@unikum.no,Postboks 2076 Grünerløkka,505,OSLO,Norge,Thorvald Meyers gate 9,555,OSLO,Norge
20195,Unisport Scandinavia AS,889734132,32 23 23 30,99575654,norge@unisport.com,Trøgstadveien 4B,1830,ASKIM,Norge,Trøgstadveien 4B,1830,ASKIM,Norge
20022,Uni-tools AS,914384680,,952 20 204,ps@uni-tools.no,Kongeveien 47,1412,SOFIEMYR,Norge,Kongeveien 47,1412,SOFIEMYR,Norge
20069,Upheads AS,980893936,51 95 80 00,,,Postboks 35,4068,STAVANGER,Norge,Vestre Svanholmen 4,4313,SANDNES,Norge
20162,Vaktmesterkompaniet AS,911935589,2317,975 59 425,,Postboks 288  Økern,511,OSLO,Norge,Micheletveien 59,1053,OSLO,Norge
20270,Vanpee Norge AS,976286324,64 83 82 80,,,Hvamsvingen 9,2013,SKJETTEN,Norge,Hvamsvingen 9,2013,SKJETTEN,Norge
20402,Vegfinans AS,983149499,,,,Ingeniør Rybergs gate 99,3027,DRAMMEN,,,,,
20120,Vender AS,992016841,,994 40 440,,Drammensveien 256,277,OSLO,Norge,Drammensveien 256,277,OSLO,Norge
20151,Vender AS,992016841,,994 40 440,,Drammensveien 256,277,OSLO,Norge,Drammensveien 256,277,OSLO,Norge
20157,Verifone Norway AS,861219232,23 24 74 00,,norway.info@verifone.com,Postboks 73,508,OSLO,Norge,Østre Aker vei 24,581,OSLO,Norge
20071,Vertikal Helseassistanse AS,979429096,23 01 48 00,,post@vertikalhelse.no,"Postboks 103, Jessheimbyen",2051,JESSHEIM,Norge,Frøyas gate 15,273,OSLO,Norge
20260,Vika Decorum AS,990588597,,,,c/o JerzyTomczak,672,OSLO,Norge,Cort Adelers gate 27,254,OSLO,Norge
20045,Vinderen Rens AS,938165238,22 49 19 19,,post@vinderenrens.no,Postboks 175  Vinderen,319,OSLO,Norge,Slemdalsveien 72,373,OSLO,Norge
20181,Visitor Systems AS,971594241,63 84 54 54,,,Postboks 158,2026,SKJETTEN,Norge,Hvamsvingen 11,2013,SKJETTEN,Norge
20417,Visma Financial Solutions AS,984842252,46 40 40 00,,,Postboks 204,1541,VESTBY,Norge,Karenslyst allé 56,277,OSLO,Norge
20048,Vuatek AS,916916930,,952 77 523,mads@vuatek.no,PB 88,1620,GRESSVIK,Norge,Øyenkilveien 67,1622,GRESSVIK,Norge
20330,Wakeup Living AS,995676419,,901 09 627,,Postboks 67,2801,GJØVIK,,Strandgata 13C,2815,GJØVIK,
20429,WALL-IT AS,915623433,,,,Skøyensvingen 14G,375,OSLO,,,,,
20198,Wallop Concepts AS,917762112,,,,Schouterrassen 34,573,OSLO,Norge,Schouterrassen 34,573,OSLO,Norge
20404,Weishaupt Norge AS,932062275,22 51 14 00,,,Kongsvingervegen 37,2040,KLØFTA,,Kongsvingervegen 37,2040,KLØFTA,Norge
20397,Westbys Lås & Innbruddssikring AS,983684491,,,,Postboks 13 Haugenstua,915,OSLO,,,,,
20079,WINDSOR DOOR AS,929087461,,,,Vågsmarka 7,5680,TYSNES,,,,,
20462,Witre AS,933249352,69 17 87 00,,,Postboks 235,1752,HALDEN,Norge,Langbrygga 9,1767,HALDEN,Norge
20401,Wj Business Partner AS,924496150,,,,Olaf Helsets vei 5,694,OSLO,,Olaf Helsets vei 5,694,OSLO,Norge
20018,Wulff Supplies AS,993447773,,,kundeservice@wulffsupplies.no,4 etg,667,OSLO,Norge,4 etg,667,OSLO,Norge
20352,Wurth Norge AS,831018682,46 40 15 00,,,Morteveien 12,1481,HAGAN,,Morteveien 12,1481,HAGAN,Norge
20387,YX-Norge AS,895453102,,,,Postboks 6470 Etterstad,605,OSLO,,,,,
20427,Zg Lighting Norway AS,918417141,22 54 72 00,,,Postboks 2522 Solli,202,OSLO,Norge,Bygdøy allé 4,257,OSLO,Norge
20365,ZINC AS,982031613,,,,Drammensveien 130,277,Oslo,,,,,
20437,Øpstad Elektro AS,912580040,,,,Slalåmveien 20D,1350,LOMMEDALEN,Norge,Slalåmveien 20D,1350,LOMMEDALEN,Norge
20388,Ørn Software AS,979443471,,,,Postboks 353,1502,MOSS,,,,,
20099,Östberg Norge AS,939625593,67 17 77 00,,post@ostbergnorge.no,Løxaveien 13,1351,RUD,Norge,Løxaveien 13,1351,RUD,Norge
